iter	Passed	Remaining
640	26891	57013
641	26932	56969
642	26975	56929
643	27017	56888
644	27063	56853
645	27105	56811
646	27147	56770
647	27186	56723
648	27226	56676
649	27266	56629
650	27306	56584
651	27345	56536
652	27384	56488
653	27425	56445
654	27468	56404
655	27507	56357
656	27545	56307
657	27587	56264
658	27626	56217
659	27667	56174
660	27710	56133
661	27752	56092
662	27792	56045
663	27833	56002
664	27875	55959
665	27915	55914
666	27958	55874
667	28005	55843
668	28043	55793
669	28084	55749
670	28126	55707
671	28169	55667
672	28209	55623
673	28249	55577
674	28289	55530
675	28329	55485
676	28369	55440
677	28410	55395
678	28449	55348
679	28486	55298
680	28526	55252
681	28568	55210
682	28609	55166
683	28650	55122
684	28704	55104
685	28743	55057
686	28783	55012
687	28833	54984
688	28873	54938
689	28911	54890
690	28952	54846
691	28993	54803
692	29034	54759
693	29073	54712
694	29111	54663
695	29151	54617
696	29194	54577
697	29237	54537
698	29277	54491
699	29317	54446
700	29356	54399
701	29394	54351
702	29435	54306
703	29474	54260
704	29514	54213
705	29551	54164
706	29592	54119
707	29633	54076
708	29674	54032
709	29713	53986
710	29754	53942
711	29796	53901
712	29836	53856
713	29874	53807
714	29912	53758
715	29952	53713
716	29993	53670
717	30034	53627
718	30073	53580
719	30113	53535
720	30155	53493
721	30196	53450
722	30239	53411
723	30283	53372
724	30324	53329
725	30365	53286
726	30405	53241
727	30446	53198
728	30487	53154
729	30527	53109
730	30577	53081
731	30622	53046
732	30664	53003
733	30702	52956
734	30749	52922
735	30788	52876
736	30829	52833
737	30870	52789
738	30921	52762
739	30961	52718
740	31008	52684
741	31046	52636
742	31086	52591
743	31127	52548
744	31167	52504
745	31206	52456
746	31245	52409
747	31285	52365
748	31356	52373
749	31396	52326
750	31448	52303
751	31498	52273
752	31546	52241
753	31592	52206
754	31632	52162
755	31673	52118
756	31712	52071
757	31752	52027
758	31801	51997
759	31842	51953
760	31881	51906
761	31921	51861
762	31961	51817
763	32001	51771
764	32040	51726
765	32080	51681
766	32122	51638
767	32161	51592
768	32200	51546
769	32240	51501
770	32279	51454
771	32319	51409
772	32361	51368
773	32402	51325
774	32441	51277
775	32490	51247
776	32530	51202
777	32575	51165
778	32614	51120
779	32653	51074
780	32694	51029
781	32733	50983
782	32772	50938
783	32812	50892
784	32855	50852
785	32894	50806
786	32934	50761
787	32975	50718
788	33016	50675
789	33057	50632
790	33096	50586
791	33136	50541
792	33176	50496
793	33214	50448
794	33254	50404
795	33296	50362
796	33338	50322
797	33378	50276
798	33419	50233
799	33464	50197
800	33505	50153
801	33543	50106
802	33583	50061
803	33621	50014
804	33662	49970
805	33704	49929
806	33743	49882
807	33780	49834
808	33819	49788
809	33861	49747
810	33902	49703
811	33944	49662
812	33985	49620
813	34027	49578
814	34074	49543
815	34115	49500
816	34155	49456
817	34195	49411
818	34236	49369
819	34276	49324
820	34324	49292
821	34365	49248
822	34411	49213
823	34451	49168
824	34513	49154
825	34552	49109
826	34591	49063
827	34631	49018
828	34670	48974
829	34711	48930
830	34751	48886
831	34799	48852
832	34841	48811
833	34880	48765
834	34924	48726
835	34966	48685
836	35005	48640
837	35052	48605
838	35092	48560
839	35132	48516
